id,title,author,genre,ISBN
412,Exclusive high-level pricing structure,Belarus,Crime|Drama,575635727-0
413,Synergized national infrastructure,Brazil,Comedy,270478109-5
414,Polarised global infrastructure,China,Comedy|Crime|Drama,126445416-3
415,Open-architected regional installation,Poland,Crime|Drama,319862632-3
416,Fundamental responsive portal,China,Drama|Romance,762208245-7
417,Devolved dedicated utilisation,Colombia,Comedy|Drama,581908911-1
418,Versatile human-resource matrix,United States,Drama|Romance,594189362-0
419,Multi-tiered zero tolerance framework,Russia,Drama|Fantasy|Romance,943476647-8
420,Re-engineered object-oriented functionalities,Azerbaijan,Documentary,850811127-4
421,Synchronised systematic implementation,Philippines,Comedy|Horror|Thriller,487335464-1
422,Cross-group zero administration system engine,Indonesia,Action|Adventure,171922492-7
423,Realigned hybrid conglomeration,Malaysia,Drama|Fantasy|Romance,820461000-9
424,Expanded homogeneous standardization,Norway,Drama,543285083-4
425,Devolved executive array,Kenya,Action|Comedy|Crime|Thriller,279090989-X
426,Integrated demand-driven artificial intelligence,Indonesia,Action|Adventure|Fantasy|Sci-Fi,639864219-8
427,Enhanced web-enabled orchestration,Azerbaijan,Drama,475162823-2
428,Customizable static capacity,Philippines,Horror,681896796-5
429,Triple-buffered didactic customer loyalty,Albania,Comedy,573398124-5
430,Visionary multimedia core,Philippines,Drama,111998277-4
431,Stand-alone upward-trending core,Brazil,Drama,144781259-X
432,Open-architected regional application,Philippines,Drama|Thriller,372821525-2
433,Progressive solution-oriented alliance,China,Action|Comedy|Crime,538839359-3
434,Multi-channelled radical toolset,Slovenia,Horror,209658843-X
435,Total coherent application,Canada,Children,750793601-5
436,Customer-focused systematic open system,Nigeria,Drama,481070948-5
437,Operative needs-based groupware,Czech Republic,Adventure|Comedy|Drama,570219236-2
438,Enhanced client-driven encryption,China,Children|Drama,178892377-4
439,Expanded asymmetric open system,Palestinian Territory,Action|Horror,853047291-8
440,Quality-focused didactic internet solution,Croatia,Drama|Mystery|Romance,428772928-5
441,Exclusive mission-critical functionalities,Argentina,Documentary,643873680-5
442,Persistent motivating hierarchy,Burkina Faso,Adventure|Animation|Children|Romance|Sci-Fi,719584362-9
443,Phased coherent policy,Mexico,Drama|Romance,387675555-7
444,Persistent zero defect circuit,France,Drama,149144608-0
445,Multi-layered holistic migration,Democratic Republic of the Congo,Drama,898903708-5
446,Team-oriented grid-enabled secured line,Indonesia,Crime|Drama,565663729-8
447,Implemented tangible matrix,Philippines,Action|Sci-Fi|War,037136026-9
448,Horizontal secondary concept,Thailand,Drama|Mystery|Romance,856351216-1
449,Customizable solution-oriented structure,China,Action|Adventure|Sci-Fi|Thriller|IMAX,486618351-9
450,Secured modular infrastructure,Denmark,Drama,357365321-9
451,Diverse zero tolerance core,France,Drama,338232931-X
452,Function-based reciprocal initiative,Sweden,Comedy|Drama,775868615-X
453,Virtual encompassing policy,Albania,Crime|Drama|Thriller,403111327-7
454,Diverse object-oriented array,Pakistan,Comedy|Musical,503372628-5
455,Universal needs-based internet solution,Brazil,Crime|Documentary,650851268-4
456,Public-key zero tolerance complexity,Vietnam,Comedy,837685605-7
457,Triple-buffered discrete leverage,Mexico,Drama|Romance,233783048-9
458,Multi-channelled disintermediate parallelism,Bulgaria,Drama,654173005-9
459,Multi-layered executive matrix,Afghanistan,Comedy|Romance,211667803-X
460,Decentralized optimizing application,China,Comedy,849166687-7
461,Exclusive neutral productivity,United States,Comedy|Drama,304901601-9
462,Open-architected 3rd generation hub,Greece,Drama,119573711-4
463,Down-sized multimedia database,China,Crime|Drama|Thriller,714171429-4
464,Networked intangible product,Canada,Horror|Thriller,194224889-X
465,Pre-emptive attitude-oriented data-warehouse,Indonesia,Crime|Drama,566985940-5
466,Optimized holistic migration,Costa Rica,Drama|Romance,762536320-1
467,Persevering exuding database,Vietnam,Comedy,171953920-0
468,User-centric composite array,China,Comedy,581929304-5
469,Compatible zero tolerance neural-net,Morocco,Adventure|Drama|War|Western,510058015-1
470,Monitored well-modulated knowledge base,Thailand,Documentary,945774605-8
471,Business-focused eco-centric implementation,Russia,Comedy|Drama|Romance,876276156-0
472,Phased uniform benchmark,Indonesia,Children|Western,326917276-1
473,Function-based background moderator,China,Comedy|War,636447138-2
474,Reactive asymmetric core,Kenya,Comedy,160938837-2
475,Compatible solution-oriented open architecture,Argentina,Comedy,596914153-4
476,Innovative bifurcated contingency,Sweden,Action|Drama,505210306-9
477,Compatible optimizing complexity,Philippines,Comedy|Drama|Musical,593826566-5
478,Re-engineered client-driven website,Latvia,Action|Horror|Sci-Fi|Thriller,644295528-1
479,Profound zero tolerance help-desk,Uruguay,Action|Horror|Sci-Fi,533509805-8
480,De-engineered bottom-line product,Peru,Comedy|Drama|Romance,937894445-0
481,Synchronised tertiary instruction set,Indonesia,Comedy|Drama,713095040-4
482,Fully-configurable stable migration,Latvia,Drama|Romance,615885940-0
483,Re-engineered transitional groupware,Sweden,Children|Comedy,664943561-9
484,Enhanced encompassing contingency,Guatemala,Adventure|Romance|Sci-Fi,924953288-1
485,Cloned modular definition,Malawi,Animation|Comedy,402399073-6
486,Inverse analyzing superstructure,Indonesia,Comedy,211622858-1
487,Team-oriented cohesive protocol,Mexico,Action|Crime|Drama,009736766-4
488,Future-proofed intangible hierarchy,Indonesia,Adventure|Children|Drama|Fantasy|Mystery,802373245-5
489,Persistent static system engine,China,Adventure|Western,616402609-1
490,Distributed methodical forecast,Russia,Comedy,593402350-0
491,Extended composite task-force,Russia,Comedy|Drama,568824412-7
492,Enterprise-wide fresh-thinking success,Philippines,Action|Romance|Thriller,420990190-3
493,Secured background firmware,Philippines,Action|Drama|Romance|Western,421117067-8
494,Multi-tiered hybrid Graphic Interface,Sweden,Comedy,300110215-2
495,Balanced fresh-thinking concept,Brazil,Drama,376777724-X
496,Cloned mission-critical moderator,Central African Republic,Comedy|Drama,185396448-4
497,Centralized context-sensitive frame,China,Action|Drama|Thriller,788358837-0
498,Enhanced contextually-based protocol,Portugal,Comedy|Drama,388911345-1
499,Universal didactic focus group,China,Comedy|Drama,393750031-6
500,Re-engineered neutral Graphical User Interface,Poland,Adventure|Comedy|Romance,412178596-7
501,Mandatory maximized encoding,China,Comedy,026343817-1
502,Persevering full-range projection,South Africa,Drama|Thriller,212783304-X
503,Re-engineered mission-critical help-desk,Serbia,Comedy,997267225-5
504,Enterprise-wide interactive strategy,Israel,Crime|Drama,555239908-0
505,Multi-lateral 24 hour synergy,China,Drama,385873750-X
506,Reactive modular alliance,France,Crime|Horror|Mystery|Romance|Thriller,727313220-9
507,Upgradable client-server toolset,Brazil,Horror|Sci-Fi,947522843-8
508,Stand-alone systematic hardware,Philippines,Drama,909868158-1
509,Exclusive 24/7 infrastructure,Thailand,Comedy,781384954-X
510,Object-based coherent pricing structure,Brazil,Horror,647036468-3
511,Inverse client-driven system engine,Indonesia,Horror,776932697-4
512,Multi-lateral exuding firmware,United States,Crime|Drama|Thriller,688604528-8
513,Progressive asymmetric protocol,Russia,Children|Drama,467194765-X
514,Cloned leading edge installation,Croatia,Action|Adventure,586865997-X
515,Multi-layered clear-thinking hierarchy,Portugal,Action|Adventure|Drama|War,137346153-5
516,User-friendly human-resource website,Malta,Comedy|Horror|Romance,128464047-7
517,Cross-group composite local area network,China,Horror|Sci-Fi|Thriller,450750882-7
518,Seamless uniform functionalities,Russia,(no genres listed),300779280-0
519,Fully-configurable optimizing toolset,France,Documentary,622280847-6
520,Managed zero tolerance firmware,Philippines,Comedy|Drama|Romance,652285300-0
521,Horizontal bifurcated collaboration,Brazil,Documentary,222861784-9
522,Inverse coherent core,United States,Crime|Drama|Thriller,118714094-5
523,Customizable content-based solution,Guatemala,(no genres listed),918430572-X
524,Versatile disintermediate forecast,China,Comedy|Crime|Mystery|Thriller,683924075-4
525,Distributed 5th generation success,Czech Republic,Drama|Thriller,399774780-6
526,Devolved attitude-oriented forecast,Peru,Action|Drama,300109699-3
527,Integrated eco-centric capacity,Canada,Drama|Horror|Thriller,157492712-4
528,Optimized multimedia core,Colombia,Documentary,392814194-5
529,Stand-alone asymmetric data-warehouse,Canada,Sci-Fi,125129055-8
530,Universal didactic strategy,China,Documentary,202387354-1
531,Optimized maximized concept,Czech Republic,Horror|Thriller,374612018-7
532,Reactive discrete software,China,Comedy|Drama,517878010-8
533,Polarised clear-thinking capacity,China,Drama,732676586-3
534,Synergistic zero administration solution,China,Comedy|Drama|Musical|Romance,879241313-7
535,Ergonomic non-volatile challenge,Sweden,Drama,073627361-1
536,Sharable maximized benchmark,Guatemala,Horror|Thriller,158148811-4
537,De-engineered holistic adapter,Belarus,Drama|Romance|War,097276398-8
538,Down-sized optimal interface,United States,Comedy|Romance,389222204-5
539,Switchable discrete benchmark,China,Drama,778905626-3
540,Vision-oriented client-driven productivity,Vietnam,Action|Comedy,403702264-8
541,Realigned motivating system engine,China,Adventure|Horror|Mystery,412462504-9
542,Face to face multimedia collaboration,Kazakhstan,Drama,865210471-9
543,Versatile composite open system,France,Comedy,169344527-1
544,Grass-roots disintermediate installation,Russia,Comedy,150110929-4
545,Optional system-worthy task-force,Philippines,Comedy|Drama|Musical,594669125-2
546,Diverse contextually-based circuit,China,Animation|Drama,172311331-X
547,Upgradable coherent utilisation,Peru,Action|Animation|Crime|Sci-Fi|Thriller,604652186-6
548,Public-key demand-driven middleware,Czech Republic,Comedy|Drama|Fantasy|Romance,938493394-5
549,Enterprise-wide uniform matrix,Nigeria,Children|Drama,571437373-1
550,Up-sized radical functionalities,Guatemala,Action|Crime|Horror,503040180-6
551,Secured system-worthy moderator,Russia,Drama,719717968-8
552,Assimilated logistical Graphical User Interface,Senegal,Comedy|Romance,813935692-1
553,Persevering next generation Graphical User Interface,Sweden,Drama,145863325-X
554,Proactive scalable knowledge user,Czech Republic,Drama|Romance|War,952525803-3
555,Configurable secondary artificial intelligence,Netherlands,Horror|Thriller,407209290-8
556,Persevering hybrid workforce,Czech Republic,Thriller,826837927-8
557,Down-sized local local area network,Ethiopia,Comedy|Western,835502006-5
558,Cross-group analyzing neural-net,Palestinian Territory,Comedy|Drama,529732446-7
559,Quality-focused encompassing emulation,United States,Comedy,205062630-4
560,Re-contextualized human-resource initiative,United States,Comedy,271855477-0
561,Business-focused mobile encoding,Indonesia,Documentary|IMAX,986364938-4
562,Advanced 6th generation protocol,Serbia,Action|Adventure|Crime|Mystery|Romance,445654268-3
563,Open-architected bi-directional forecast,Indonesia,Documentary,961462766-2
564,Distributed secondary adapter,Kosovo,Documentary,338446637-3
565,Self-enabling human-resource projection,Philippines,Comedy|Documentary,890470178-3
566,Proactive 6th generation open architecture,China,Documentary,831317733-0
567,Function-based secondary migration,Ukraine,Comedy,867217705-3
568,Mandatory client-server website,China,Documentary,920013701-6
569,Optional modular adapter,Democratic Republic of the Congo,Comedy|Drama,588945148-0
570,Centralized mission-critical help-desk,Philippines,Horror|Thriller,399807100-8
571,Multi-layered stable hub,Russia,Action|Crime,116329372-5
572,Cross-platform systemic architecture,France,Comedy,227363606-7
573,Reduced transitional functionalities,Colombia,Action|War,384766942-7
574,Balanced leading edge parallelism,China,Adventure|Animation|Children|Comedy|Fantasy,804267925-4
575,Robust systematic frame,Indonesia,Comedy,642852537-2
576,Grass-roots transitional infrastructure,Indonesia,Romance|Thriller,028611268-X
577,Phased motivating solution,China,Comedy|Drama,695353048-0
578,Balanced actuating hierarchy,Russia,Crime|Drama|Thriller,037001896-6
579,Pre-emptive needs-based functionalities,South Korea,Crime|Film-Noir|Mystery|Romance|Thriller,875575352-3
580,Quality-focused intangible concept,Kenya,Comedy|Crime|Drama,061106154-6
581,Integrated systematic capability,Tunisia,Documentary,648225213-3
582,Enterprise-wide encompassing function,Bangladesh,Action|Drama|Western,857171547-5
583,Public-key 24 hour project,Russia,Comedy|Drama|Romance,923444920-7
584,Progressive leading edge leverage,South Sudan,Drama|Romance,867754624-3
585,Organized bottom-line parallelism,China,Comedy|Drama,325854160-4
586,Triple-buffered encompassing synergy,Greece,Drama|Mystery|Romance,171888737-X
587,Business-focused encompassing project,Sweden,Drama,722619697-2
588,Customizable zero administration challenge,Morocco,Crime|Drama|Thriller,051360657-2
589,Ergonomic cohesive encryption,China,Documentary,423939477-5
590,Right-sized multi-tasking orchestration,Yemen,Horror,333658646-1
591,Fully-configurable next generation moratorium,Indonesia,Action|Crime|Thriller,104423131-9
592,Upgradable multi-tasking secured line,China,Horror,392372567-1
593,Adaptive leading edge toolset,Lithuania,Action|Horror,278393124-9
594,Ameliorated content-based intranet,Canada,Drama,714635373-7
595,Upgradable value-added website,Saudi Arabia,Comedy|Romance,063124326-7
596,Self-enabling tertiary function,China,Comedy|Drama|Romance,405616034-1
597,Profound global matrices,Brazil,Comedy|Drama,965702144-8
598,Multi-lateral exuding ability,China,Comedy|Musical|Romance,691437510-0
599,Progressive national info-mediaries,Israel,Comedy|Horror,036205883-0
600,Right-sized tangible methodology,China,(no genres listed),324831872-4
601,Down-sized actuating Graphical User Interface,China,Drama,036928385-6
602,Operative intermediate capability,Argentina,Comedy,402361929-9
603,Team-oriented real-time focus group,Sweden,Drama|Horror|Thriller,620789671-8
604,Programmable upward-trending instruction set,Ireland,Comedy|Drama,445292663-0
605,Versatile actuating core,China,Action|Drama|Romance|Sci-Fi,693074695-9
606,Customizable object-oriented encoding,China,Action|Fantasy,900210918-0
607,Object-based discrete middleware,Mongolia,Drama,160131281-4
608,User-friendly zero administration support,Macedonia,Drama,266335934-3
609,Optional needs-based product,Poland,Horror,479960128-8
610,Total optimal definition,Poland,Drama,546335307-7
611,Versatile national instruction set,South Africa,Comedy,708446270-8
612,Diverse background Graphic Interface,Guatemala,Comedy|Fantasy|Horror,410126990-4
613,Re-engineered multimedia application,China,(no genres listed),544055635-4
614,Profit-focused foreground attitude,France,Drama|Sci-Fi,708251525-1
615,Face to face coherent workforce,Armenia,Comedy,242185695-7
616,Cloned eco-centric initiative,Poland,Horror|Thriller,640758683-6
617,Adaptive composite flexibility,Portugal,Documentary|Drama,754409802-8
618,Triple-buffered tangible support,Sudan,Drama,017787622-0
619,Implemented coherent archive,China,Drama|Horror,085024721-7
620,Versatile non-volatile pricing structure,Peru,Horror,292747062-6
621,Multi-channelled content-based migration,Indonesia,Drama,316961624-2
622,Object-based bifurcated installation,Uzbekistan,Action|Children|Romance,933796297-7
623,Reactive real-time support,Poland,Drama|Thriller,172256979-4
624,Organic didactic framework,Czech Republic,Comedy|Romance,074761486-5
625,Realigned composite challenge,Sweden,Horror|Thriller,028634656-7
626,Integrated exuding throughput,Nigeria,Comedy,434639585-6
627,Enterprise-wide static archive,China,Comedy|Drama,537727068-1
628,Synchronised empowering groupware,Japan,Comedy,776006229-X
629,Enhanced stable knowledge user,China,Comedy,473480807-4
630,Reverse-engineered methodical adapter,Philippines,Comedy,869191308-8
631,Multi-tiered 24 hour extranet,China,Crime|Drama,300519824-3
632,Programmable scalable internet solution,Russia,Documentary,177182702-5
633,Vision-oriented multi-tasking local area network,Poland,Comedy,831477388-3
634,Persevering coherent artificial intelligence,Cameroon,Documentary,185574435-X
635,Innovative regional utilisation,China,Action|Comedy,603066782-3
636,Switchable secondary projection,China,Comedy|Crime,865878857-1
637,Implemented tertiary synergy,China,Drama,353050303-7
638,Right-sized web-enabled hardware,China,Comedy|Crime,207646523-5
639,Advanced attitude-oriented toolset,France,Documentary,487776111-X
640,Re-engineered regional standardization,Russia,Documentary,376706200-3
641,Integrated coherent help-desk,Indonesia,Comedy,301411416-2
642,Visionary holistic approach,Poland,Comedy|Drama,228302300-9
643,Configurable needs-based initiative,Poland,Horror|Thriller,667871196-3
644,Switchable radical solution,Iran,Adventure|Western,164386540-4
645,Configurable high-level time-frame,Russia,Documentary,760347956-8
646,Networked non-volatile alliance,Chile,Drama,044000231-1
647,Profound scalable middleware,Luxembourg,Drama,139698347-3
648,Intuitive dynamic projection,Philippines,Documentary,052896631-6
649,Persistent eco-centric attitude,Uganda,Drama,158219109-3
650,Optimized neutral time-frame,Lithuania,Drama|Romance,474455592-6
651,Versatile mobile process improvement,United States,Western,534972346-4
652,Exclusive directional emulation,China,Drama,682585843-2
653,Networked multi-tasking process improvement,Russia,Horror|Sci-Fi|Thriller,117969344-2
654,Down-sized incremental alliance,Indonesia,Drama|Romance,099997178-6
655,Re-engineered methodical projection,China,Drama,853077773-5
656,Down-sized fresh-thinking open system,Syria,Horror|Thriller,871591418-6
657,Object-based grid-enabled solution,Sweden,Action|Crime|Drama|Thriller,960972979-7
658,Extended real-time application,China,Comedy|Drama,900734785-3
659,Intuitive upward-trending encryption,France,Comedy|Drama|Romance,897065185-3
660,Profit-focused logistical moderator,France,Comedy|Drama,894682557-X
661,Total methodical knowledge base,China,Thriller,851333980-6
662,User-centric tangible functionalities,Czech Republic,Documentary,672719092-5
663,Down-sized intangible hub,Portugal,Action|Adventure|Sci-Fi,720337536-6
664,User-friendly fresh-thinking groupware,Ukraine,Comedy,385527288-3
665,Monitored zero administration installation,Ghana,Documentary,196817567-9
666,Upgradable regional knowledge base,Comoros,Comedy|Drama,839930117-5
667,Monitored fresh-thinking customer loyalty,China,Comedy|Romance|Western,885161396-6
668,Adaptive fresh-thinking interface,Brazil,Comedy|Horror,969331904-4
669,Fundamental tangible function,Portugal,Drama,723448087-0
670,Diverse value-added framework,Indonesia,Comedy|Drama,607922124-1
671,Phased stable focus group,Canada,Comedy|Crime,339402294-X
672,Polarised bifurcated matrices,Russia,Comedy|Thriller,243947813-X
673,Reactive transitional function,United Kingdom,Documentary,539520833-X
674,Open-architected bottom-line matrix,Russia,Drama|Romance|Western,267942476-X
675,Visionary secondary toolset,Argentina,Action|Adventure|Animation|Children|Sci-Fi,490939106-1
676,Diverse 3rd generation paradigm,Philippines,Drama|Romance,378529855-2
677,Visionary optimal superstructure,China,Comedy,898414356-1
678,Triple-buffered context-sensitive software,Portugal,Drama,021786147-4
679,Realigned leading edge system engine,Ireland,Animation|Drama,371396773-3
680,Re-contextualized optimal framework,Haiti,Drama|Romance,027849892-2
681,Grass-roots tertiary encoding,Peru,Crime|Thriller,516101532-2
682,Fully-configurable motivating customer loyalty,Philippines,Comedy,720107809-7
683,Managed next generation archive,Iran,Comedy|Western,663318825-0
684,Polarised well-modulated encoding,Sweden,Drama|Mystery|Romance,302288942-9
685,Reactive modular middleware,France,Drama|War,459241786-0
686,Centralized zero administration customer loyalty,Tunisia,Drama,200496050-7
687,Customizable optimal benchmark,Indonesia,Drama|Fantasy|Horror|Thriller,907580613-2
688,Innovative mission-critical analyzer,Japan,Action|Animation|Mystery|IMAX,854699099-9
689,Fundamental leading edge core,Russia,Comedy|Documentary,601099428-4
690,Triple-buffered intermediate infrastructure,Mexico,Action|Sci-Fi|Thriller,773869545-5
691,Reactive holistic secured line,Indonesia,Drama,683434788-7
692,Front-line bifurcated projection,Greece,Horror|Thriller,259382456-5
693,Managed responsive architecture,Sweden,Comedy|Drama|Musical,873224486-X
694,Ergonomic bi-directional definition,Czech Republic,Drama|Romance,197599740-9
695,Automated multi-state pricing structure,China,Documentary,953992906-7
696,Devolved radical protocol,China,Action|Drama,593287315-9
697,Persevering coherent application,Japan,Comedy,906389080-X
698,Networked client-driven migration,Israel,Comedy|Horror,298387821-X
699,Virtual uniform open system,Philippines,Adventure|Comedy|Musical,639912846-3
700,Innovative transitional task-force,Cape Verde,Drama,915488069-6
701,Up-sized systemic flexibility,China,Comedy|Drama,146022952-5
702,Inverse transitional orchestration,Colombia,Action|Crime|Thriller,714475389-4
703,Upgradable composite customer loyalty,Syria,Comedy|Drama,411834361-4
704,Open-source asynchronous middleware,Poland,Crime|Drama|Film-Noir,789919239-0
705,Persistent directional framework,Greece,Animation|Children|Musical|IMAX,089559222-3
706,Cross-platform upward-trending moderator,France,Action|Adventure|Comedy|War,275098438-6
707,Programmable encompassing project,Mali,Children|Drama,873386490-X
708,User-friendly bottom-line installation,China,Drama,677704268-7
709,Multi-channelled bandwidth-monitored encryption,Sweden,Drama,453883941-8
710,Versatile static open system,Afghanistan,Drama|Film-Noir|Romance,540992216-6
711,Integrated dynamic initiative,Serbia,Drama,696976624-1
712,Secured dedicated task-force,Japan,Drama|Sci-Fi,144781197-6
713,Synergized client-driven open system,Kazakhstan,Comedy|Drama,315784081-9
714,Re-engineered full-range standardization,Poland,Comedy|Drama,532921719-9
715,Sharable secondary benchmark,East Timor,Documentary,631491769-7
716,Assimilated uniform neural-net,Sweden,Documentary|Drama,393715222-9
717,Persistent fault-tolerant implementation,United States,Drama,838432722-X
718,Cloned multi-tasking archive,South Africa,Action|Mystery|Thriller,256466004-5
719,Exclusive contextually-based groupware,Russia,Documentary,806155132-2
720,Focused attitude-oriented complexity,China,Comedy|Drama|Romance,400453084-9
721,Distributed heuristic standardization,Greece,Drama,591033108-6
722,Business-focused systematic implementation,Vietnam,Drama|Mystery|Thriller,542472463-9
723,Ameliorated zero defect definition,China,Musical|Romance,118330844-2
724,Programmable user-facing ability,Honduras,Western,271780930-9
725,Multi-tiered fault-tolerant data-warehouse,Russia,Action|Crime|Drama,034905175-5
726,Intuitive demand-driven functionalities,Philippines,Drama|War,744926710-1
727,Balanced global utilisation,Sri Lanka,Children|Comedy|Fantasy|Musical,350621228-1
728,Robust tangible moratorium,Poland,Drama,562538222-0
729,Assimilated high-level flexibility,Peru,Horror|Sci-Fi,477841779-8
730,Balanced optimizing knowledge user,Greece,Action|Fantasy|Horror,307582488-7
731,Customizable methodical database,Philippines,Comedy|Musical,097098222-4
732,Grass-roots even-keeled support,Ukraine,Thriller,624164148-4
733,Visionary optimal data-warehouse,China,Action|Horror|Sci-Fi,055101363-X
734,Virtual intermediate encoding,Brazil,Comedy|Crime|Drama,558369765-2
735,Self-enabling secondary throughput,China,Drama|Thriller,182729244-X
736,Secured leading edge adapter,Slovenia,Animation,569360554-X
737,Fully-configurable heuristic initiative,China,Crime|Drama|Thriller,804174239-4
738,Quality-focused discrete leverage,Croatia,Drama|Fantasy|Mystery|Romance,803209223-4
739,Triple-buffered national throughput,Brazil,Action|Adventure|Drama|Thriller,126056058-9
740,Versatile modular algorithm,Mexico,Comedy|Drama|Romance,089342431-5
741,Streamlined systematic portal,Brazil,Drama,330987050-2
742,Focused methodical circuit,Argentina,Adventure|Animation|Children|Comedy|Fantasy,304909701-9
743,Reactive grid-enabled collaboration,Indonesia,Fantasy|Horror|Thriller,398694718-3
744,Monitored global migration,France,Documentary,303937687-X
745,Profound human-resource migration,China,Comedy|Horror,745822421-5
746,Ameliorated intermediate groupware,Sweden,Horror|Thriller,236891193-6
747,Decentralized clear-thinking benchmark,Thailand,Comedy|Fantasy,424711633-9
748,Exclusive systemic attitude,Russia,Comedy,520432835-1
749,Reverse-engineered background pricing structure,China,Western,470538639-6
750,Polarised reciprocal task-force,Mexico,Animation|Drama|War,156084820-0
751,Organized composite groupware,United States,Drama,706306415-0
752,Centralized well-modulated framework,Ethiopia,Documentary,451351492-2
753,Enhanced bi-directional contingency,Portugal,Drama,646045238-5
754,Networked multi-state open architecture,Indonesia,Drama,558758289-2
755,Devolved methodical groupware,China,Comedy,175948492-X
756,Sharable empowering structure,Tanzania,Comedy|Fantasy|Romance,958341898-6
757,Customizable leading edge model,Canada,Drama,862950415-3
758,Object-based even-keeled alliance,Chad,Comedy|Drama|Romance,733858650-0
759,Universal background system engine,Czech Republic,Documentary,987503268-9
760,Balanced regional extranet,Bosnia and Herzegovina,Action|Drama,595826182-7
761,Managed composite concept,Croatia,Horror,416442691-8
762,Extended mobile ability,Poland,Drama,035593806-5
763,Proactive real-time structure,Indonesia,Comedy|Drama,393859448-9
764,Assimilated multi-state moratorium,Namibia,Drama,318516986-7
765,Expanded value-added archive,Czech Republic,Comedy,410997654-5
766,Versatile reciprocal hub,Somalia,Drama,763307131-1
767,Managed 6th generation synergy,Indonesia,Comedy|Crime,264893633-5
768,Total background hierarchy,Poland,Drama,936207486-9
769,Horizontal impactful forecast,Thailand,Documentary|War,537838518-0
770,Profound zero administration interface,Greece,Drama,537289703-1
771,Advanced maximized artificial intelligence,Czech Republic,Crime|Drama|Film-Noir|Thriller,094761360-9
772,Focused global model,Myanmar,Adventure|Comedy,937110090-7
773,Persistent mission-critical access,Poland,Drama,678684377-8
774,Ergonomic fresh-thinking monitoring,Thailand,Drama|Fantasy|Romance,551803494-6
775,Focused human-resource hardware,China,Action|Adventure,447418572-2
776,Universal homogeneous collaboration,Mexico,Drama,281559046-8
777,Balanced client-driven hierarchy,Sweden,Documentary,748619288-8
778,Realigned exuding matrices,Poland,Documentary,883603876-X
779,Progressive systematic adapter,Russia,Animation|Children|Fantasy,926058960-6
780,Virtual tangible attitude,Benin,Drama,110094754-X
781,Public-key context-sensitive structure,Indonesia,Fantasy|Horror|Mystery,932477405-0
782,Customizable motivating moderator,Netherlands,Drama|Romance,962164662-6
783,User-centric asymmetric time-frame,Armenia,Comedy|Drama,835325025-X
784,Synchronised eco-centric Graphical User Interface,Indonesia,Comedy,599748567-6
785,Optimized content-based architecture,China,Animation|Children|Fantasy|Musical,190287240-1
786,Self-enabling asymmetric budgetary management,Malaysia,Drama|Musical,498880247-7
787,Multi-channelled even-keeled access,Indonesia,Drama,322601958-9
788,Advanced coherent attitude,China,Documentary,323222564-0
789,Right-sized analyzing policy,Tanzania,Drama,415698874-0
790,Function-based systemic standardization,China,Drama,438630323-5
791,Stand-alone intermediate support,China,Musical|Romance|War,576961552-4
792,Multi-lateral composite hardware,Yemen,Western,480172100-1
793,Managed asynchronous open system,Philippines,Drama,354925192-0
794,Configurable impactful core,Sweden,(no genres listed),464731959-8
795,Persistent client-server alliance,Indonesia,Horror|Sci-Fi,085878524-2
796,Fully-configurable discrete paradigm,Macedonia,Documentary,128093559-6
797,Streamlined methodical synergy,United States,Sci-Fi,053210164-2
798,Sharable fresh-thinking task-force,Indonesia,Drama,470757581-1
799,Exclusive context-sensitive project,Portugal,Drama,578592230-4
800,Automated 3rd generation encoding,China,Comedy,683697060-3
801,Multi-tiered multi-state capacity,Russia,Comedy|Drama|Romance,423985517-9
802,Versatile exuding encoding,Indonesia,Horror,065102796-9
803,Centralized background utilisation,Sweden,Documentary,187421105-1
804,Reverse-engineered dynamic access,Ukraine,Adventure|Animation,014481319-X
805,Intuitive eco-centric hierarchy,Ukraine,Comedy,073790707-X
806,Organized optimal data-warehouse,China,Comedy|Drama,221386537-X
807,Diverse well-modulated model,China,Adventure,592462911-2
808,Optional 24 hour functionalities,Uganda,Horror,224432007-3
809,Multi-lateral analyzing service-desk,Angola,Documentary,982270019-9
810,Fundamental global pricing structure,China,Crime|Drama|Thriller,380493700-4
811,Monitored zero defect extranet,China,Animation|Comedy,951864434-9
812,Open-source foreground product,Sweden,Drama,490636375-X
813,Quality-focused asymmetric capability,Sri Lanka,Children|Comedy,254770352-1
814,Grass-roots foreground function,Japan,Drama,027056543-4
815,Ergonomic asymmetric help-desk,Philippines,Drama|Mystery|Thriller,003256009-5
816,Persistent actuating infrastructure,United States,Mystery|Thriller,516854149-6
817,Progressive eco-centric service-desk,Philippines,Drama,256836744-X
818,Managed zero defect Graphic Interface,Ukraine,Comedy|Drama,301202109-4
819,Grass-roots next generation strategy,Indonesia,Action|Adventure|Drama,082402380-3
820,Total local process improvement,Brazil,Comedy|Horror,118540096-6
821,Organic neutral standardization,Argentina,Drama,244736115-7
822,Re-engineered asymmetric hardware,China,Action|Crime|Drama,154568486-3
823,Realigned value-added moratorium,Japan,Crime|Drama|Thriller,396530799-1
824,Distributed responsive encryption,Macedonia,Action|Drama|War,255305068-2
825,Reverse-engineered bifurcated process improvement,China,Comedy,308592637-2
826,Synchronised executive frame,Peru,Documentary|War,449808987-1
827,De-engineered heuristic internet solution,Philippines,Horror|Thriller,808274323-9
